# m c logL logPrior
3.504501723821113135e+00 1.005869970683208381e+00 -8.104136687556342622e+01 -6.140766166132576032e-02
3.497125121862396213e+00 1.049097442287636239e+00 -8.104135532150016274e+01 -6.114942058980539497e-02
3.554867491581803041e+00 1.013443193491060157e+00 -8.103456774729309586e+01 -6.318541441352550081e-02
3.548127099257693207e+00 1.063607185749719575e+00 -8.103216317473774666e+01 -6.294602956243405822e-02
3.469705366489425291e+00 1.256916135050663241e+00 -8.101047391693390409e+01 -6.019427665122757676e-02
3.516889756023743097e+00 1.247254047125893717e+00 -8.100412010502373050e+01 -6.184256778012372363e-02
3.560972963960645110e+00 9.605419312701752865e-01 -8.100115215370558985e+01 -6.340264225029330902e-02
3.464311470421482575e+00 1.374446665633580755e+00 -8.098378574713490252e+01 -6.000726982046928476e-02
3.565246782825826521e+00 9.159083924582884784e-01 -8.097659842464327085e+01 -6.355492311224952839e-02
3.472255754538980277e+00 1.395511746115431606e+00 -8.091329868760419686e+01 -6.028280012464531934e-02
3.536798755325989418e+00 1.135678138381198909e+00 -8.090778200986380853e+01 -6.254472717837733509e-02
3.477059696998743288e+00 1.193368449153297650e+00 -8.086246646278928552e+01 -6.044972068246496494e-02
3.482169480264596384e+00 1.377186381572799156e+00 -8.078418508642874940e+01 -6.062752144643104857e-02
3.489258409575132891e+00 1.105017137095261948e+00 -8.074725021317161122e+01 -6.087462124395392332e-02
3.544645591661141015e+00 8.318342091487119783e-01 -8.072893327894584559e+01 -6.282256185241379132e-02
3.568211242893038815e+00 8.348414505825831888e-01 -8.072791417197912267e+01 -6.366065736954143461e-02
3.465644051387124946e+00 1.363938070336780939e+00 -8.072537178214783182e+01 -6.005344345457482719e-02
3.499265420747192934e+00 1.320569327115201252e+00 -8.070143664543346063e+01 -6.122429242418514495e-02
3.568030373356839924e+00 8.349711356865171519e-01 -8.069869149696521049e+01 -6.365420372598475096e-02
3.565948810269058189e+00 8.906841233720962370e-01 -8.065350040742148963e+01 -6.357995458729656657e-02
3.567604132733625644e+00 8.302036366697770342e-01 -8.065219985768474942e+01 -6.363899623949022255e-02
3.465833372263646961e+00 1.352145393428883180e+00 -8.064665278195039377e+01 -6.006000482148201453e-02
3.551141021636115447e+00 8.158986163218697740e-01 -8.064478513823628703e+01 -6.305301277773396607e-02
3.565614008996941031e+00 8.175934303548282323e-01 -8.053844854583796575e+01 -6.356801630577620099e-02
3.496875173049118768e+00 1.325919865257660257e+00 -8.049806239667455543e+01 -6.114067987943651999e-02
3.512103124236649609e+00 9.743295114066456986e-01 -8.046971683194803404e+01 -6.167434177636417492e-02
3.546579660543041079e+00 1.062525988482308836e+00 -8.045587870817544740e+01 -6.289113644288796268e-02
3.564806610363034700e+00 8.929343911053779781e-01 -8.041719128880146172e+01 -6.353923084643994801e-02
3.476626105587864668e+00 1.376808759114839464e+00 -8.039251539820736525e+01 -6.043464539027520316e-02
3.555835998740447756e+00 9.879468698918625336e-01 -8.035624454309447628e+01 -6.321984824969238692e-02
3.473145202229368067e+00 1.244861123250337043e+00 -8.035461076217444543e+01 -6.031368797884438526e-02
3.562593657822795024e+00 9.190671722370252761e-01 -8.033573682603454813e+01 -6.346036785379600975e-02
3.472857087245849961e+00 1.375097825913790039e+00 -8.032440267973143477e+01 -6.030368174216863691e-02
3.471068197441446568e+00 1.371871564514032693e+00 -8.031637307831837802e+01 -6.024157215644706381e-02
3.560941980024882270e+00 8.150007663269596137e-01 -8.031046242786008804e+01 -6.340153892551764203e-02
3.470243819841722033e+00 1.281261330687710309e+00 -8.030766107551814059e+01 -6.021296084574832147e-02
3.548137591201795171e+00 8.310003121549217608e-01 -8.030569533477199684e+01 -6.294640183049639293e-02
3.504586494624732040e+00 1.018836585509093728e+00 -8.027280085821678313e+01 -6.141063249153033005e-02
3.545371589500291076e+00 8.393236287098604365e-01 -8.026805133071394494e+01 -6.284829853817910927e-02
3.547587460550054139e+00 1.051024353423834379e+00 -8.026560740748033140e+01 -6.292688395125990708e-02
