# m c logL logPrior
-1.770715830889866993e+01 4.846708555243699479e+00 -2.801168784513946623e+06 -1.567717276881996025e+00
-1.788897753767020760e+01 7.901799393122595383e+00 -2.727716544119564351e+06 -1.600077586716346145e+00
-1.516700288767206928e+01 -9.347220610153780029e+00 -2.698443741253430489e+06 -1.150189882973264410e+00
-1.795974467408505859e+01 9.406490668669331257e+00 -2.687274007463774178e+06 -1.612762143791633074e+00
-1.547561545652740733e+01 -6.968070746698892926e+00 -2.682915096340481658e+06 -1.197473368791549975e+00
-1.555306397406118002e+01 -6.062954324703266451e+00 -2.666586105947035365e+06 -1.209488994906198878e+00
-1.668095177421914244e+01 1.844159495274665828e+00 -2.647079968609067611e+06 -1.391270760469123680e+00
-1.514858770112364894e+01 -8.149384075162261709e+00 -2.644583148793166038e+06 -1.147398546693173316e+00
-1.487842933662095390e+01 -9.252172060472179993e+00 -2.618385629598048516e+06 -1.106838297624115119e+00
2.344372979928642664e+01 1.309215062466386970e+00 -2.618316790192111395e+06 -2.748042334509751772e+00
2.361970980161218847e+01 9.714807347761963974e-02 -2.616595909204700030e+06 -2.789453455561874406e+00
2.429060155637646190e+01 -4.438967299421518575e+00 -2.614703985883534886e+06 -2.950166619853192618e+00
-1.623804044386646694e+01 -1.402531773122940306e-01 -2.609357302481573075e+06 -1.318369787283215189e+00
-1.750955619446639844e+01 8.651149359217370716e+00 -2.598112501606221311e+06 -1.532922790635883104e+00
-1.523759743572481185e+01 -6.182529451158720768e+00 -2.588573007945895661e+06 -1.160921878066036861e+00
-1.704915230564820661e+01 6.772186467777038921e+00 -2.550804628616574220e+06 -1.453367971705948003e+00
-1.451177742085469902e+01 -9.816942060332269904e+00 -2.545763949857091065e+06 -1.052958419562141312e+00
2.172400276946299869e+01 9.539501000783607410e+00 -2.497832720095500816e+06 -2.359661481638180014e+00
2.228202038684291608e+01 5.652448802773164971e+00 -2.488110816046206281e+06 -2.482442162598417212e+00
-1.449472132449853312e+01 -7.872130430188753358e+00 -2.464303620038233697e+06 -1.050484731374362601e+00
2.268024209790018020e+01 2.373820460853472980e+00 -2.462649755435530562e+06 -2.571966908096817495e+00
2.147016826540401624e+01 9.855183847676924458e+00 -2.445597557638867758e+06 -2.304840626723808850e+00
2.227886259791792867e+01 3.858079593811714947e+00 -2.417987576724464539e+06 -2.481738593284531724e+00
-1.572439864230211803e+01 1.625429480853631148e+00 -2.409131704946757294e+06 -1.236283563310163425e+00
2.208096105862645686e+01 4.188343658403006486e+00 -2.380905720880010165e+06 -2.437844206362890009e+00
-1.617616386559127051e+01 6.098685287035949365e+00 -2.354721449615713209e+06 -1.308341387032303738e+00
-1.645501422138583081e+01 8.012691435925201944e+00 -2.353471417471134569e+06 -1.353837465130049766e+00
-1.650491321969359504e+01 8.459281388146072445e+00 -2.349466952395261265e+06 -1.362060801948081989e+00
-1.513415493095513575e+01 5.291730321982923702e-02 -2.321145455135979690e+06 -1.145213227370768028e+00
-1.565112603383147416e+01 3.644986160176537204e+00 -2.315365792068029288e+06 -1.224788730634386758e+00
-1.407278717908458887e+01 -6.351815846578366731e+00 -2.300298549296810757e+06 -9.902166949390379669e-01
-1.389135137657696362e+01 -6.719257272166675676e+00 -2.269723692710185889e+06 -9.648482153376335413e-01
2.326262743412186751e+01 -6.781650280599245129e+00 -2.266974165012086276e+06 -2.705749175693796804e+00
-1.386572700879672126e+01 -6.613422667565826529e+00 -2.259506226060814690e+06 -9.612919274123744584e-01
-1.518587402243295692e+01 2.111409894575942303e+00 -2.257728858702745289e+06 -1.153053849126020491e+00
2.352394377665007852e+01 -8.877028691858429355e+00 -2.255583404226561077e+06 -2.766879654034970049e+00
2.208917237977335191e+01 7.649544825244447566e-01 -2.255120472455266863e+06 -2.439657682116709747e+00
2.109828963077103481e+01 6.815629137265012183e+00 -2.237661526905180421e+06 -2.225689126719503363e+00
2.196126414544768934e+01 9.293520292054395782e-01 -2.230087477265512105e+06 -2.411485614330630689e+00
2.327293020320580652e+01 -8.294431129721143492e+00 -2.215510035555257928e+06 -2.708146401216445565e+00
