# level_assignment log_likelihood tiebreaker ID
2 -3.646743512126433779e+04 3.048537754831757152e-01 4
5 -9.581667681298400794e+02 4.009907210972085134e-01 4
1 -1.004289774730536446e+05 7.340320684771491910e-01 1
14 -7.064006225997465549e+01 7.169385891578167191e-01 1
16 -7.061974955877344939e+01 6.415955101739255761e-01 2
16 -7.062341628060082144e+01 9.088306228977516277e-01 2
16 -7.061216040635849822e+01 8.180801247886648753e-01 3
15 -7.062151188917630407e+01 9.281660885604463562e-01 3
9 -7.987869471588022918e+01 8.138038707378607572e-01 1
0 -2.017328918630643282e+06 7.930061340483236521e-01 4
12 -7.114098151552455818e+01 1.999565921448231698e-01 1
17 -7.061248967355830075e+01 2.474639257142328963e-01 2
14 -7.071115178591540484e+01 7.904303795390710263e-01 2
18 -7.060957317755166684e+01 7.212719664846467538e-01 2
17 -7.061124252378991173e+01 8.088561894074308700e-01 3
16 -7.060998053835166388e+01 9.920422191949853641e-01 3
11 -7.246358364198539448e+01 1.918993852006281031e-01 2
10 -7.344117051974794208e+01 4.692154528032226324e-01 2
19 -7.060824478511123914e+01 2.232514616072208413e-01 1
14 -7.071173969498111944e+01 9.731312946587495905e-01 0
18 -7.060806919355636069e+01 7.159178678775008908e-01 4
15 -7.062416304512520071e+01 6.227189222172790917e-01 2
7 -1.224357907493271114e+02 7.954904651426131235e-01 2
16 -7.062400409467532825e+01 5.255907240707755612e-01 2
14 -7.067261616477154007e+01 5.208778641841863566e-01 4
21 -7.060800831019250268e+01 7.849605180292495987e-01 4
17 -7.060816690404766405e+01 2.380137677308543920e-01 4
17 -7.061324239104379785e+01 8.227107707853644758e-01 0
19 -7.060817603127151187e+01 5.662262651633304111e-02 2
9 -8.094871211830846391e+01 8.053495966212258494e-01 4
12 -7.102544340555743929e+01 3.003113594305695244e-01 4
18 -7.060960100355265467e+01 4.847171745909104601e-01 4
14 -7.064950113563635625e+01 6.605662646686880635e-01 1
20 -7.060803186869200943e+01 4.783608284795555776e-01 0
8 -9.915163004453215478e+01 9.756101052534424944e-01 1
19 -7.060832462765652906e+01 1.049202309551691137e-01 3
20 -7.060821801658752861e+01 5.688349173596273234e-01 0
10 -7.492187625593837197e+01 2.260397207872699710e-01 2
1 -1.381310260105724446e+05 7.518340033990620341e-01 1
8 -1.005634728908316333e+02 3.569117904670186525e-01 2
22 -7.060800419242721659e+01 4.245854495123196903e-01 0
14 -7.064579787398298549e+01 7.055535919116366628e-02 3
18 -7.060893616135658135e+01 9.359249931306414805e-01 0
18 -7.060960622094657424e+01 5.411520368304922890e-02 4
2 -2.924919065788919761e+04 4.711573355303699806e-01 2
12 -7.109126591377714988e+01 8.647802845280017081e-01 4
22 -7.060799308491749571e+01 3.422424700674198128e-01 2
22 -7.060801735906528620e+01 8.881728062596154771e-01 1
13 -7.088611152549562178e+01 7.798733447936410101e-01 4
18 -7.060990007380510747e+01 5.879502916354690800e-01 2
21 -7.060803265511609084e+01 1.077646778878862399e-01 2
17 -7.061059001428070303e+01 9.817209666029741433e-01 4
26 -7.060798633754464504e+01 9.782507284153594274e-01 0
14 -7.066118167540496131e+01 5.849550776346212899e-01 4
13 -7.091953668634226915e+01 3.806368753448469144e-01 4
25 -7.060798741109130106e+01 8.527711940721047768e-01 0
15 -7.064183883139205022e+01 8.310645599317638688e-01 2
13 -7.063574665525881358e+01 6.495734212819777829e-03 3
25 -7.060798687542538232e+01 7.749259022086290027e-01 1
