# m c logL logPrior
-2.459346302119649152e+01 -8.691883393499761468e+00 -1.764537721621676174e+05 -3.024192116874796721e+00
-2.692214846013867913e+01 7.705833048902867688e+00 -1.745210935135574546e+05 -3.624010388548736916e+00
3.160430514211835273e+01 8.190296002557330368e+00 -1.728974957215714094e+05 -4.994160517580642278e+00
-2.470206963107911591e+01 -5.685739316297985013e+00 -1.722589903000219783e+05 -3.050961220293406218e+00
-2.431881112535475609e+01 -6.921126678185578918e+00 -1.699829603727076028e+05 -2.957022872753391596e+00
3.284799274132386415e+01 -2.388123096867384554e+00 -1.686148023542166047e+05 -5.394953135670326638e+00
-2.385734457213730053e+01 -5.445809954660316698e+00 -1.620183903267879796e+05 -2.845864450168445803e+00
-2.481669996890593666e+01 3.094571327942771788e+00 -1.581537486914417823e+05 -3.079342986733479837e+00
-2.279244136850106628e+01 -9.903493564696562501e+00 -1.577178478211248002e+05 -2.597476917682793651e+00
3.257754658028159156e+01 -8.388365473826226548e+00 -1.552517747144034947e+05 -5.306482705952084267e+00
3.119492529945055281e+01 -5.738788331108297669e-01 -1.528989677886229183e+05 -4.865616822191499935e+00
-2.294834746617769383e+01 -3.811228309508610579e+00 -1.490282602146528079e+05 -2.633133257142120431e+00
-2.295261078205456329e+01 -2.324613540726461203e+00 -1.465942734656219254e+05 -2.634111708562437038e+00
-2.223198138302012339e+01 -4.792609857402202245e+00 -1.428819346709458914e+05 -2.471304981074767149e+00
2.870723900113033977e+01 8.352809366663779045e+00 -1.406265082717914192e+05 -4.120527855340093915e+00
-2.203189624289053228e+01 -3.790153259735567826e+00 -1.391090962866592454e+05 -2.427022260287470257e+00
-2.248626247377508847e+01 -4.946437731005239868e-01 -1.385998686370840005e+05 -2.528160000197528845e+00
-2.151845167740418674e+01 -4.220673037807482153e+00 -1.344057080964927736e+05 -2.315218812963895090e+00
-2.119023291560714384e+01 -4.608736194627715221e+00 -1.316201718633976416e+05 -2.245129855088402682e+00
-2.227971788791002083e+01 4.355990490151329553e+00 -1.288315254035592661e+05 -2.481929145824288696e+00
-2.050546260563934808e+01 -6.842860433885113558e+00 -1.281228082360903209e+05 -2.102369983356367822e+00
-2.005126316822288501e+01 -6.557168805702056957e+00 -1.231065574472513399e+05 -2.010265773206658224e+00
-2.022769986803491093e+01 -4.362409685759843114e+00 -1.215098661762967968e+05 -2.045799209756498094e+00
-1.955467571311701036e+01 -8.070287956196770196e+00 -1.204965814714657026e+05 -1.911926711225841569e+00
-1.933645201719841467e+01 -7.197735748941811451e+00 -1.170418412883347919e+05 -1.869491883067083471e+00
-2.023141442754477737e+01 -1.293334219496332871e+00 -1.169459335912283859e+05 -2.046550648695335095e+00
-1.981039424003565586e+01 -1.363074135352754013e+00 -1.129913651115642861e+05 -1.962258599728189390e+00
-1.890046931015167075e+01 -7.242435308037231678e+00 -1.129088877508857986e+05 -1.786138700719925865e+00
-1.911809936149352041e+01 -4.915116546276044218e+00 -1.115711208166542492e+05 -1.827508615979694939e+00
-1.863689113105411366e+01 -7.343664803480645986e+00 -1.105545348207556963e+05 -1.736668555153817461e+00
2.588563260638662200e+01 6.833186179213640798e+00 -1.099579469050257467e+05 -3.350329877164131887e+00
-2.071700126193749369e+01 7.234269489117230556e+00 -1.092939950242308405e+05 -2.145970706435599062e+00
2.556179441670778729e+01 7.962224030131032748e+00 -1.085466164080105518e+05 -3.267026669010167250e+00
-1.950672404132681237e+01 1.554154049927098491e+00 -1.059720534209151519e+05 -1.902561414122387218e+00
-2.058418374727137845e+01 8.907609025341153952e+00 -1.057334015159895353e+05 -2.118543102707155956e+00
-1.912413896905358968e+01 1.274126953116000216e+00 -1.028480930037082726e+05 -1.828663456538370591e+00
-1.851750278771108782e+01 -2.316994729420585042e+00 -1.022963924980431184e+05 -1.714489547464439712e+00
2.492380776232415229e+01 7.514092446282877980e+00 -1.020305295957052003e+05 -3.105980966866447979e+00
-1.812029237482837729e+01 -3.674737918377926960e+00 -1.005807789334179106e+05 -1.641724978746317065e+00
2.487677358699022889e+01 6.473352681774906081e+00 -1.001610853275732370e+05 -3.094269320491874087e+00
-1.761872411379793846e+01 -6.390209388395070356e+00 -9.982278449502959847e+04 -1.552097196990624761e+00
-1.708394278569093316e+01 -8.869534089893818418e+00 -9.846851020961694303e+04 -1.459305505523806445e+00
-1.892832734067057032e+01 4.364748755111000911e+00 -9.690303651746554533e+04 -1.791407879577884943e+00
2.387506528156267649e+01 9.992978704849404537e+00 -9.607555279952917772e+04 -2.850093710994397789e+00
2.462548393531750435e+01 4.744684354865708720e+00 -9.557387377342628315e+04 -3.032072295242902005e+00
-1.726108517398512632e+01 -5.309358810306363807e+00 -9.517443135132525640e+04 -1.489725306917845771e+00
-1.735261843714941676e+01 -4.679370385595780668e+00 -9.512796202115176129e+04 -1.505566833126489312e+00
2.526172929421640490e+01 1.053710286448055200e-01 -9.496746102210305980e+04 -3.190774834671356253e+00
-1.760204787774066659e+01 -2.911613383997404991e+00 -9.493950160718968255e+04 -1.549160447451373601e+00
-1.796449818561288936e+01 3.821945896586198543e-01 -9.372341078385442961e+04 -1.613615975304443895e+00
2.569841297943200686e+01 -4.020710765469344139e+00 -9.336308834910782753e+04 -3.302042148307196889e+00
-1.843653169264353764e+01 4.285006445716276424e+00 -9.270537347176500771e+04 -1.699528504269248064e+00
-1.703785199750718249e+01 -4.827505439359078387e+00 -9.258650032131477201e+04 -1.451442003444797457e+00
-1.869168172607294309e+01 6.186665591423920141e+00 -9.244631028765137307e+04 -1.746894828744046224e+00
2.544361015033503648e+01 -4.340503296273301892e+00 -9.075435667458052922e+04 -3.236886487411160473e+00
-1.825186046614694746e+01 4.667267199704678404e+00 -9.062278121499193367e+04 -1.665652052378489234e+00
-1.738558398573968589e+01 -3.144617865631668674e-01 -8.965267289000684104e+04 -1.511292652626041066e+00
-1.730941181912683291e+01 -4.228555914240073044e-01 -8.914549397304120066e+04 -1.498078687620638227e+00
2.340476260531491093e+01 7.702881205320537994e+00 -8.895841343171715562e+04 -2.738914563055736551e+00
-1.602642392815080186e+01 -8.320258934579827681e+00 -8.854997377425085870e+04 -1.284231319624022927e+00
2.498190895823737634e+01 -3.459219829834947024e+00 -8.795355904161742365e+04 -3.120478875988303979e+00
-1.709742301046301804e+01 -7.514481090236052596e-01 -8.777629696256021271e+04 -1.461609367993551345e+00
-1.583167361703650045e+01 -8.772750952193408835e+00 -8.750083753630526189e+04 -1.253209447581848046e+00
-1.681723084299926185e+01 -2.139629481910109376e+00 -8.719998344792236458e+04 -1.414096266133628488e+00
-1.668530579194781893e+01 -2.816589893960162350e+00 -8.696139244802627945e+04 -1.391997146854037304e+00
-1.663114787623056756e+01 -3.135133449832953723e+00 -8.691607668894853850e+04 -1.382975398405242640e+00
2.282515369522927173e+01 9.710377423870678371e+00 -8.669010479917303019e+04 -2.604938206054192129e+00
-1.571984344495299624e+01 -8.668295427688722299e+00 -8.642875882679078495e+04 -1.235567389669158578e+00
-1.648709348792080220e+01 -3.542610708986104751e+00 -8.623361913799779722e+04 -1.359121258397202769e+00
2.307604582604960797e+01 7.087571249106483506e+00 -8.540693452241412888e+04 -2.662519454829707310e+00
-1.692139547637205510e+01 4.962565773670180036e-01 -8.472531561510356551e+04 -1.431668124338923098e+00
-1.639550988875396698e+01 -2.534153504499814247e+00 -8.419377827195510326e+04 -1.344063722561145591e+00
-1.696437133846671230e+01 1.431499008457873590e+00 -8.391064030271701631e+04 -1.438949474546954432e+00
-1.532124113814479038e+01 -9.101409146977625042e+00 -8.368562827327960986e+04 -1.173702150065901284e+00
-1.666935081638673566e+01 -2.907790575979314340e-01 -8.363272174959299446e+04 -1.389336283198865818e+00
-1.736626989836026169e+01 5.667470902793673382e+00 -8.198249186169306631e+04 -1.507936650913468846e+00
-1.492975216479240075e+01 -9.894961174573991158e+00 -8.149969495539361378e+04 -1.114487498510616792e+00
-1.757301595780858250e+01 7.548087169596241708e+00 -8.138172867776702333e+04 -1.544054449266975437e+00
-1.592567502026055415e+01 -3.100816262322005912e+00 -8.106493078975046228e+04 -1.268135624254755012e+00
2.299799883702731762e+01 4.127415671607298719e+00 -8.104767996828426840e+04 -2.644539752539548871e+00
-1.496785656693477584e+01 -9.097430256644528868e+00 -8.080382366376451682e+04 -1.120183651041662509e+00
-1.598542037350384604e+01 -2.359466353046725473e+00 -8.063130885464839230e+04 -1.277668322588159322e+00
-1.710025175148621202e+01 5.154397902037796797e+00 -8.045082039953806088e+04 -1.462093049821036495e+00
-1.481319023089976028e+01 -9.583731503873281099e+00 -8.016784323066515208e+04 -1.097153024084120299e+00
-1.596257031400022974e+01 -1.394733285694035985e+00 -7.926458461570757208e+04 -1.274018255147007173e+00
-1.499504006255189026e+01 -7.394074739835712506e+00 -7.890084219269941968e+04 -1.124256132387680962e+00
2.193321998573618004e+01 9.029279391290078394e+00 -7.855184755691874307e+04 -2.405330694713485151e+00
2.337338626828086774e+01 -7.199734654509568621e-01 -7.815811227024483378e+04 -2.731575928231302797e+00
-1.494824476805538005e+01 -6.966836209220195641e+00 -7.800260911239945563e+04 -1.117250108228475369e+00
2.195563318133959996e+01 8.346108265121323200e+00 -7.789081490485927498e+04 -2.410249141967702347e+00
2.394345011549648561e+01 -4.769048435167375644e+00 -7.786206432758069423e+04 -2.866444017166343894e+00
-1.702302845375010776e+01 7.843228880210086018e+00 -7.664089350555742567e+04 -1.448917488685929067e+00
2.180186802432919890e+01 7.391290124348396162e+00 -7.552234959040247486e+04 -2.376607246751340163e+00
-1.422719222790439275e+01 -9.496387071159830384e+00 -7.542183848024391045e+04 -1.012064993448715811e+00
2.387918183099542802e+01 -6.679424430396537105e+00 -7.512504137041843205e+04 -2.851076624588710473e+00
-1.451622715067486169e+01 -6.999718139905829695e+00 -7.465364750007558905e+04 -1.053604253449949901e+00
-1.531683432777475140e+01 -1.758563242433134111e+00 -7.461356607267016079e+04 -1.173027069122495103e+00
-1.424006988021542419e+01 -8.422538889540295060e+00 -7.422424326171522262e+04 -1.013897950967092676e+00
