# m c logL logPrior
3.550929455331278017e+00 8.549941308701574094e-01 -7.925596904946326049e+01 -6.304549998369643471e-02
3.476524295829730438e+00 1.328398057516356090e+00 -7.925347155314963743e+01 -6.043110589747201222e-02
3.480431095151403476e+00 1.214004619000979668e+00 -7.925167545731744667e+01 -6.056700304048398542e-02
3.474893347301633018e+00 1.299905361967331530e+00 -7.924020282123244385e+01 -6.037441887560573983e-02
3.523221353144614820e+00 9.433042420788915194e-01 -7.923941143102047135e+01 -6.206544351627085732e-02
3.558311289062290328e+00 8.735937016844770309e-01 -7.923687807086000134e+01 -6.330789614934069498e-02
3.481626370055161068e+00 1.203193250634443157e+00 -7.923267044640896017e+01 -6.060861090331737949e-02
3.541646450287735615e+00 1.068601099639250318e+00 -7.922736275243769910e+01 -6.271629789417858258e-02
3.475253140415167419e+00 1.288795580205225777e+00 -7.921546258503371973e+01 -6.038692194982742123e-02
3.510332316772821759e+00 1.007629201408535513e+00 -7.921471690845936564e+01 -6.161216487089823252e-02
3.557474654863944874e+00 9.193822918068502714e-01 -7.921088372038622083e+01 -6.327812959999670750e-02
3.500099817722915674e+00 1.287211598121892120e+00 -7.919739078011119204e+01 -6.125349367011994478e-02
3.545610425695462364e+00 8.654859907486723847e-01 -7.919545519944216494e+01 -6.285676645400178897e-02
3.497579718062307386e+00 1.083369394105631267e+00 -7.919150729675256173e+01 -6.116531942100405378e-02
3.526428025372810193e+00 9.304584323437861126e-01 -7.918249639508186988e+01 -6.217847309067389000e-02
3.545295267461417765e+00 8.668773647213743327e-01 -7.917118069844815409e+01 -6.284559266742163752e-02
3.495142295169638924e+00 1.100204034433512668e+00 -7.915908420545909507e+01 -6.108009831741845197e-02
3.518387625256010676e+00 9.676409337945335309e-01 -7.915508753427832289e+01 -6.189525740777315765e-02
3.552247529805474535e+00 9.786091225778776881e-01 -7.911877533138127205e+01 -6.309231256504548024e-02
3.515174506763169227e+00 1.220922891577079783e+00 -7.911815921398795126e+01 -6.178225906498844427e-02
3.547373509945622061e+00 8.648640699799018394e-01 -7.910278986063624984e+01 -6.291929409531961392e-02
3.539184631270777093e+00 1.082349367453848465e+00 -7.909457234663217662e+01 -6.262913927111632417e-02
3.509492231719118394e+00 1.246482911221755696e+00 -7.908228605779294185e+01 -6.158267862248419794e-02
3.499129033973805036e+00 1.076083089021625971e+00 -7.908008419273116374e+01 -6.121951998199227224e-02
3.488826778627023728e+00 1.318113895087834386e+00 -7.906478962744265004e+01 -6.085956145632508141e-02
3.487747076435526949e+00 1.320060468673337484e+00 -7.905402543440840191e+01 -6.082189834592281741e-02
3.484652045005960375e+00 1.324996308508539888e+00 -7.905184657128211256e+01 -6.071399937382111062e-02
3.476525763483375275e+00 1.306216489240736855e+00 -7.904600046100901523e+01 -6.043115692081832413e-02
3.541217262807446531e+00 1.066729007887978975e+00 -7.904021025974390113e+01 -6.270109851202732010e-02
3.536475419150292065e+00 8.952579852257520621e-01 -7.903887766441320650e+01 -6.253329195127117768e-02
3.534281671917405276e+00 9.029873981494984658e-01 -7.903247410964763731e+01 -6.245573468225644465e-02
3.537648975032907650e+00 1.091142103963967713e+00 -7.903110278482640183e+01 -6.257480135275690636e-02
3.543482414465102259e+00 8.755399275014749128e-01 -7.901518589311223195e+01 -6.278133810811716009e-02
3.485749782319135459e+00 1.174606172013447525e+00 -7.900538808078493958e+01 -6.075225772468949292e-02
3.495278637483274498e+00 1.299001022212831202e+00 -7.900222196281511344e+01 -6.108486376823468039e-02
3.518400643884270096e+00 9.709307380997834747e-01 -7.899764113424279799e+01 -6.189571545442623668e-02
3.532629502900993312e+00 9.098607404499945428e-01 -7.899584401649309484e+01 -6.239735602383260360e-02
3.485504909354647740e+00 1.321909009919533196e+00 -7.899432441858942866e+01 -6.074372236567674582e-02
3.537530532155412466e+00 1.090978559773613021e+00 -7.899307812919380467e+01 -6.257061132965877071e-02
3.478003394141330862e+00 1.257654492261541135e+00 -7.898900980209052136e+01 -6.048253804829308716e-02
3.496902666904153190e+00 1.293377940256311254e+00 -7.898597695033045341e+01 -6.114164130900689303e-02
3.479582706716043639e+00 1.321190938238006263e+00 -7.898057072989578842e+01 -6.053747906438673720e-02
3.554180010446462035e+00 9.499874128219303326e-01 -7.897253594375649755e+01 -6.316097773328606391e-02
3.556681065774442541e+00 8.949560289954309189e-01 -7.896857608169580089e+01 -6.324990101819211175e-02
3.546882950119123912e+00 1.021228336471600606e+00 -7.896657184147323960e+01 -6.290189330922869859e-02
3.554199467294735015e+00 8.700048766977178660e-01 -7.895905104877994063e+01 -6.316166926659089187e-02
3.544794188369674082e+00 1.037737964347606123e+00 -7.895840618977351255e+01 -6.282782918949708639e-02
3.505938663939116573e+00 1.258630290204771018e+00 -7.894365701191776452e+01 -6.145802957651599202e-02
3.527062798856444914e+00 1.154461224909082873e+00 -7.894119059101731750e+01 -6.220085993538530117e-02
3.556359757164873958e+00 8.930265904205169081e-01 -7.893161121021648796e+01 -6.323847361190901295e-02
3.486802702864656656e+00 1.317540684869535461e+00 -7.892222928061511311e+01 -6.078896544352136583e-02
