# level_assignment log_likelihood tiebreaker ID
14 -7.763266797630708993e+01 7.219426710667105063e-01 2
8 -6.462198052546311374e+03 7.385061206544965007e-01 1
0 -4.816124142936733365e+08 2.852953579679695650e-01 2
12 -9.231597746183186359e+01 4.063748485478724248e-02 4
15 -7.678813775282571896e+01 4.635445095187565312e-01 3
0 -2.323725724922339439e+09 3.088006933271145726e-01 2
14 -8.015437347885408315e+01 8.563049733779292128e-01 3
16 -7.698751522467551922e+01 8.112320373974062360e-01 0
11 -2.914932830372015360e+02 5.793858029818811373e-01 4
3 -1.418293556789424911e+05 7.974643915337651379e-01 3
13 -1.144253357834122227e+02 7.982201566139823790e-02 1
0 -8.522191533580847740e+09 9.423183010166269469e-01 0
0 -7.570730385542758942e+09 1.855433101209585933e-01 0
0 -5.296456395755567551e+09 8.027363444701358930e-02 4
17 -7.692292391287935516e+01 2.056168787583425583e-01 1
0 -3.949220270098705292e+10 3.286048668171409615e-01 0
8 -6.964859098360830103e+02 1.742720853436474648e-01 2
0 -1.119992792175209656e+11 8.049920072622285261e-01 0
12 -9.551411188330831692e+01 2.073912062101754827e-01 2
0 -5.910497836100190163e+09 9.706492801675233040e-02 4
0 -1.041898895664030457e+11 8.217058635056764260e-01 0
0 -8.910814659784346008e+10 8.075488067989482488e-01 0
13 -1.141604418590919181e+02 8.073141381204025357e-01 3
15 -7.854527801270775456e+01 5.987761876994843885e-02 3
0 -1.441387200833715210e+11 6.054444516444008606e-01 0
0 -2.175749452372338295e+09 7.909858279282219740e-02 4
0 -4.733056358779111862e+09 8.733986091968999332e-01 4
7 -7.171456370813404646e+03 9.901999171752294826e-01 3
15 -7.807641802483675519e+01 8.748612793328334192e-01 3
18 -7.653251260434973346e+01 1.974644565403100849e-01 3
0 -1.751018619665357056e+11 8.816844192604044173e-01 0
17 -7.695737389832974884e+01 1.660259275820719083e-02 3
21 -7.632763636135338459e+01 8.312358371095287524e-01 2
17 -7.662113493710626244e+01 7.626426785328199731e-02 1
2 -5.061247250626278110e+06 8.784746882733623918e-01 3
6 -2.832289306848629712e+04 7.213922249535120734e-02 3
0 -2.874371518180791855e+10 5.466266915331221554e-01 4
0 -1.395367508456987000e+11 7.707452415223663422e-01 0
0 -3.612716365216671753e+10 5.554558246439343927e-01 4
22 -7.631922021403011058e+01 3.444909286068108534e-01 1
21 -7.632167703683266780e+01 4.309219407084177722e-02 3
16 -7.657678178227467924e+01 1.559332886332689405e-01 1
0 -9.364486467375502014e+10 3.872190060154311747e-02 0
0 -1.134095441196803131e+11 5.023312318202686200e-01 0
20 -7.633020035628423727e+01 1.692992898015510117e-01 2
16 -7.722090368168420582e+01 1.877908974669242892e-01 2
12 -1.097812043729313984e+02 4.614772753390156690e-01 3
0 -3.380549754014258575e+10 8.759654319213971974e-01 4
0 -2.708625497549519348e+10 5.381359815212467534e-01 4
0 -1.515510955395810852e+11 8.625207087360173830e-01 0
12 -1.461445506334001720e+02 9.750288125370182302e-03 3
0 -2.653567165296393204e+10 1.523639266544246085e-01 4
0 -1.210521430050415497e+11 3.951269858463386520e-01 0
0 -1.258057513093495178e+11 7.648818015484968313e-01 0
0 -3.064290102594882584e+10 5.375024403432769882e-01 4
0 -1.395791302702699280e+11 8.507053564700799431e-01 0
13 -1.020107945338112927e+02 8.511400542963796223e-01 1
23 -7.631703397776689712e+01 9.513117804043099701e-01 3
5 -1.315006933211354772e+05 4.973649733871639000e-01 3
0 -1.594650998742507019e+11 6.288549650585704143e-01 0
24 -7.631538573525760683e+01 1.697663988055782003e-01 1
13 -9.356203187693333234e+01 6.553142305825403469e-01 3
22 -7.631612100213655481e+01 8.392152621404989077e-01 2
0 -1.446430282135381775e+11 9.471119046175360268e-01 0
25 -7.631520332526926609e+01 4.863954166017414593e-01 4
0 -1.515455915562064209e+11 2.413372182415579603e-01 0
26 -7.631494249890721449e+01 1.896259696312367904e-01 4
21 -7.632029475493132509e+01 6.097563933445868667e-01 4
0 -1.033162536001758270e+11 2.604834931303033896e-01 0
